Entity
كنيسة القديس جيورجيوس
كنيسة الثالوث المقدس للروم الأرثوذكس  
كنيسة القديس سرجيوس
الكنيسة الكبيرة  
بازيليك القديسة مريم سيدة الملائكة البابوية
كنيسة القديس يوحنا
كنيسة القديس اسطفيان
كنيسة القديس مارسيللوس
كنيسة القديس دميان
كنيسة القديس استيفا
كنيسه مدينه فيتنبرج
كنيسة مار احودامة
كنيسة القديس اباسخيرون
كنيسة القديس سلفستر
كنيسة القديسة انستازيا
كنيسة مار نقولا
كنيسة القديس العظيم
كنيسة القديس جزافييه
كنيسة مار ديمتريوس
كنيسة القديس يوستينا
كنيسة القديس جوارديوس
كنيسة القديسة إيلان
كنيسة القديس بروكوبيوس
كنيسة القديسة ديميانة
كنيسة القديس إلياس
كنيسة القديس فيتال
كنيسة مار مارون
كنيسة السيدة الاثرية
كنيسة مار انداروس
كنيسة القديس جواجيوس
كنيسة مار حوديني
كنيسة القديسة ماريا
سانت إيوسيبيو
كنيسة القديس سبيريدون
كنيسة القديس اندراوس
كنيسة القديسة جوليا
كنيسة السيدة حصرون
كنيسة القديسة كاثرين
كنيسة القديس إيجينيوس
كنيسة مار نرساي
كنيسة القديس كارلو
كنيسة مار كوركيكس
كنيسة القديس جود
كنيسة مار قيوما
كنيسة القديسة سالومي
كنيسة مار ديميط
الكنيسة الرئيسية للتجسد
كنيسة القديس لابي
كنيسة مار فيلبوس
كنيسة مار ماما
